Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
DS-UPS600-X;UPS de 600 VA / 360W / Protección Contra Sobrecarga y Descarga / Entrada y Salida 120 VCA / 6 Tomas NEMA 5-15R (4 con Respaldo y 2 sin Respaldo);2;;;03/02/2026;
DH-PFM922I-5EUN-C-100;Bobina de 100 metros de cable UTP Cat 5e, fabricado con conductores de aluminio revestidos de cobre (CCA), en color blanco. Ideal para uso en interiores, con cubierta FR-PVC retardante de flama ;0;;;03/02/2026;
GXP-2130;Teléfono IP Empresarial de 3 Líneas con 4 teclas de función, 8 teclas de extensión BLF y conferencia de 4 vías. PoE;1;;;03/02/2026;
SF16AWG500A;Alambre de Aluminio Reforzado / Intemperie / Ideal para Cercas Electrificadas / Calibre 16 - 500mts;2;;;03/02/2026;
PM-WIRE2;CABLE DOBLE AISLADO DE ALTO VOLTAJE PARA CERCA ELECTRIFICADAS BOBINA;0;;;03/02/2026;
DH-HAC-HDBW1200EAN;Cámara Domo de 2 Megapíxeles Antivandálica/ 1080p/ Lente 2.8 mm/ 115 Grados de Apertura/ IR de 40 Metros/ Super Adapt/ Protección IK10/ Uso Exterior IP67;1;;;03/02/2026;
DH-HAC-T2A21N-0360B;Camara Domo de 2 Megapixeles/ 1080p/ Lente 3.6 mm/ 82 Grados de Apertura/ IR de 20 Metros/ Metalica/ IP67/;3;;;03/02/2026;
DH-HAC-T1A51N-U;Cámara Domo de 5 Megapixeles/ Lente de 2.8mm/ 106 Grados de Apertura/ IR de 25 Mts/ Uso Interior/ Soporta HDCVI/AHD/TVI y CBVS/;4;;;03/02/2026;
DH-HAC-T2A51N-U;Camara Domo de 5 Megapixeles/106 Grados de Apertura/ Metalica/ Lente de 2.8 mm/ IR de 30 Metros/;1;;;03/02/2026;
DH-HAC-HDW1209TLQN-A-LED;Cámara Domo Full Color de 2 MP. Lente fijo 2.8 mm con ángulo de 103°, micrófono integrado, iluminación LED de 20 m, tecnología Starlight para excelente desempeño en baja luz, DWDR, certificación IP67 y fácil instalación.;2;;;03/02/2026;
DH-HAC-HDW1200CLQN-IL-A;Camara Domo de 2 Megapixeles/ Iluminación Dual Inteligente + FullColor/ Lente de 2.8 mm/ 102 Grados de Apertura/ 20 Metros de IR y Luz Visible/ Microfono Integrado/ IP67/ Soporta: CVI/CVBS/AHD/TVI/;2;;;03/02/2026;
AWG25;;1;;;;
AWG50;;1;;;03/02/2026;
AWG100;;0;;;03/02/2026;
DH-HAC-HFW1500TN-0280B;Camara Bullet de 5 Megapixeles/ Lente de 2.8 mm/ 111 Grados de Apertura/ Metalica/ IR de 30 Metros/ IP67/ Soporta CVI/CVBS/AHD/TVI/;4;;;03/02/2026;
DH-HAC-HFW1500CN-A-0280B-S2;Camara Bullet de 5 Megapixeles/ Microfono Integrado/ Lente de 2.8mm/ 111 Grados de Apertura/ IR de 30 Mts/ Starlight/ IP67/ CVI/CVBS/AHD/TVI/;2;;;03/02/2026;
DH-HAC-HFW1200TN-A-0280B-S4;Camara Bullet Hdcvi 1080p/ Microfono Integrado/ 103 Grados De Apertura/ Lente 2.8 Mm/ Ir 30 Mts/ Ip67/ Metalica/ Dwdr/ Blc /hlc;1;;;03/02/2026;
DH-HAC-HFW1209TLMN-A-LED;Camara Bullet Full Color de 2 Megapixeles/ 1080p/ Lente de 2.8mm/ 108 Grados de Apertura/ Microfono Integrado/ 40 Metros de Iluminación/ DWDR/ IP67/ Metalica+Policarbonato/;4;;;03/02/2026;
SUA-HAC-B20P-0280B; Cámara Tipo Bala de 2 Megapíxeles & 1080P/ Lente de 2.8 mm Apertura de Hasta 100°/ Iluminación IR de Hasta 20m/ Para Exterior IP67/Material Plástico de Alta Duración/Funcionamiento en Modos;8;;;03/02/2026;
DH-HAC-HFW1209CN-LED-0280B;Cámara Bullet Full Color 1080p/ Lente de 2.8 mm/ 106 Grados de Apertura/ Luz Blanca de 20 Mts/ DWDR/ Starlight/ IP67/ Soporta CVI/AHD y CVBS;10;;;03/02/2026;
DH-HAC-B2A21N-U-0280B;Camara Bullet de 2 Megapixeles/ 1080p/ Lente 2.8 mm/ 100 Grados de Apertura/ 30 Metros de IR/ Metalica/ IP67/ Soporta: CVI/TVI/AHD y CVBS/ Menu OSD para Configuracion;4;;;03/02/2026;
DH-HAC-B1A21N-U-0280B;Camara Bullet de 2 Megapixeles/ Lente de 2.8 mm/ 30 Metros de IR/ 100 Grados de Apertura/ IP67;1;;;03/02/2026;
DH-HAC-B1A51N-U-IL-A;Cámara Bullet de 5 MP Serie Cooper/ Lente 2.8 mm Apertura Hasta 106°/ Iluminación Dual Inteligente/ Iluminación Hasta 30Mts con IR +20Mts Luz Calida/ Micrófono Incorporado/ Plástico/ Para ExteriorIP67;2;;;03/02/2026;
DH-HAC-HFW1509CN-LED-0280B;Cámara Bullet Full Color de 5 Megapixeles/ Lente de 2.8 mm/ 112 Grados de Apertura/ Leds para 20 Mts/ WDR de 120 dB/ Starlight/ IP67;3;;;03/02/2026;
DH-HAC-HFW1200RLN-IL-T;Camara Bullet de 2 Megapixeles/ Audio Bidireccional/ Iluminación Dual Inteligente Hasta 30m/ Lente de 2.8mm Apertura de 111°/ Policarbonato;0;;;03/02/2026;
DH-F4C-LED;Cámara IP Bullet Wifi de 4 Megapíxeles/ Full Color/ Microfono Integrado/ 30 Mts de Luz Visible/ Ranura para MicroSD/ IA con Detección de Humanos/ IP67/;1;;;03/02/2026;
DH-HAC-HFW1209CN-A-LED;Cámara Bullet Full Color 1080p/ Lente de 2.8 mm/ 106 Grados de Apertura/ Micrófono Integrado/ Luz Blanca de 20 Mts/ DWDR/ Starlight/ IP67/;2;;;03/02/2026;
